model,params (M),FLOPs,Inf (ms),PSNR (dB),SSIM
mr_lkv,3.650879,187.51 MMac,7.2960234375,23.830859196618402,0.9352571857213849
unet,31.042369,3.42 GMac,6.00108154296875,29.078388359639924,0.9463596283649504
replknet,21.792833,371.95 MMac,23.06414453125,14.466818996369303,0.4969698792437804
swinir,0.728865,2.97 GMac,56.76721875,25.220533875401962,0.9280612754387759
restormer,12.163286,3.68 GMac,26.99901171875,24.445107080515307,0.9367594406160097
swin2sr,1.063041,3.36 GMac,29.824255859375,22.132163156714345,0.9316636244808609
