model,params (M),FLOPs,Inf (ms),PSNR (dB),SSIM
mr_lkv,3.650879,187.51 MMac,6.16616748046875,23.59611827154609,0.9358613495404307
unet,31.042369,3.42 GMac,4.84135009765625,28.8995767664087,0.9489391342981617
replknet,21.792833,371.95 MMac,20.086134765625,14.658319700439042,0.503843331984789
swinir,0.728865,2.97 GMac,47.4339609375,25.146707429812952,0.9265449058509064
restormer,12.163286,3.68 GMac,22.60950390625,24.610351958208373,0.9342712885038529
swin2sr,1.063041,3.36 GMac,25.657216796875,22.06412868822696,0.9336784508378273
